,id,brand,name,year,cpu_rank,cpu,ram,disk,is_rtx,gpu,gpu_memory,price,disk_detail,weight,weight_type,battery,battery_life,screen_size,has_camere,keyboard_haslight,keyboard,video_type,thin_type,business_type,game_type,is_apple,description,link,img_src
10,10,Lenovo,联想拯救者 Y7000 2020,2020,5,Intel 酷睿i5 10300H,16,512GB,0,NVIDIA GeForce GTX 1650,4,5999,SSD固态硬盘>,2.35Kg,heavy,视具体使用环境而定长续航笔记本>,0,15.6,TRUE,1,原感键盘，白色背光键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1323/1322052/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/01/05/ChMlWl6z0--IRXWiAAHqDJhX8XQAAO6hAF6T8QAAeok750.jpg
11,11,Lenovo,联想小新Air 14 2020,2020,5,Intel 酷睿i5 1035G1,16,512GB,0,NVIDIA Geforce MX350,2,4999,SSD固态硬盘>,1.39Kg,medium,12小时左右，视具体使用环境而定长续航笔记本>,long,0,TRUE,1,背光键盘,0,1,0,0,0,"轻薄笔记本,",http://detail.zol.com.cn/1312/1311987/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/09/01/ChMlWl5PN06IXAN7AADp_i9wWKwAANZyQFuAywAAOoW352.jpg
12,12,Lenovo,联想小新Pro13 2020 i5,2020,5,Intel 酷睿i5 10210U,16,512GB,0,NVIDIA GeForce MX350,2,5499,SSD固态硬盘>,1.5Kg,medium,约8.5小时，视具体使用环境而定长续航笔记本>,long,13.3,TRUE,1,背光键盘,0,1,0,0,0,"轻薄笔记本,",http://detail.zol.com.cn/1314/1313197/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0E/07/ChMlWV5xjrSIPhwZAADCKEoXIKYAANvIQGcbNwAAMJA099.jpg
13,13,HUAWEI,华为HUAWEI MateBook X,2020,7,Intel 酷睿i7 10510U,16,512GB,0,NVIDIA Geforce MX250,2,9999,SSD固态硬盘>,1.33Kg,medium,12小时左右，视具体使用环境而定长续航笔记本>,long,13.9,TRUE,1,全尺寸背光巧克力键盘,0,1,1,0,0,"轻薄笔记本,商务办公本,",http://detail.zol.com.cn/1319/1318053/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/05/09/ChMlWV6OncKIMI6SAAD5gzQYOuEAAOLkgBh8NYAAPmb511.jpg
14,14,hp,惠普暗影精灵6 i5,2020,5,Intel 酷睿i5 10300H,16,512GB,0,NVIDIA GeForce GTX 1650 Ti,4,6899,SSD固态硬盘>,2.36Kg,heavy,2-5小时，视具体使用环境而定长续航笔记本>,short,15.6,TRUE,1,26键无冲背光键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1331/1330915/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/00/06/ChMkJ18HKxaIBiIiAADrf3tvntkAAwx_gPq70YAAOuX882.jpg
15,15,HUAWEI,华为HUAWEI MateBook X,2020,7,Intel 酷睿i7 10510U,16,512GB,0,No description,0,9899,SSD固态硬盘>,1000g,light,视具体使用环境而定长续航笔记本>,0,0,TRUE,0,巧克力键盘>，孤岛式键盘>,0,0,1,0,0,"商务办公本,",http://detail.zol.com.cn/1334/1333155/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g6/M00/03/01/ChMkKV883OyIZqRGAACyt2lrOAkAABMRwJHO10AALLP443.jpg
16,16,Lenovo,联想拯救者 Y7000P 2020,2020,7,Intel 酷睿i7 10750H,16,1T,RTX2060,NVIDIA Geforce RTX 2060,6,9199,SSD固态硬盘>,2.35Kg,heavy,2-5小时，视具体使用环境而定长续航笔记本>,short,15.6,FALSE,1,背光键盘,0,1,0,0,0,"轻薄笔记本,",http://detail.zol.com.cn/1323/1322062/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0B/02/ChMlWl7OJjmITuSbAAEgCvWR8LYAAPhsAKA008AASAi042.jpg
17,17,hp,惠普战66 Pro 14,2019,5,Intel 酷睿i5 10210U,8,512GB,0,NVIDIA Geforce MX250,2,4269,SSD固态硬盘>,1.6Kg,medium,8小时左右，视具体使用环境而定长续航笔记本>,long,0,TRUE,1,防泼溅键盘，背光键盘,0,1,1,0,0,"商务办公本,轻薄笔记本,",http://detail.zol.com.cn/1301/1300021/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/09/0A/ChMkJ13KazWILUdTAAEzmeyNDD4AAvMDQN8NFIAATOx902.jpg
18,18,apple,苹果MacBook Air 13.3,2020,3,Intel 酷睿i3,0,256GB,0,Intel Iris Plus Graphics,0,7999,SSD固态硬盘>,1.29Kg,medium,视具体使用环境而定长续航笔记本>,0,13.3,TRUE,1,背光妙控键盘,0,1,0,0,1,"轻薄笔记本,",http://detail.zol.com.cn/1316/1315408/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0E/09/ChMlWl5yF82IR2yIAADoyM59JNgAANvugBAJlAAAOjg550.jpg
19,19,Lenovo,联想拯救者 Y7000P 2019,2019,7,Intel 酷睿i7 9750H,8,1T,0,NVIDIA GeForce GTX 1660Ti,6,10899,SSD固态硬盘>,2.35Kg,heavy,视具体使用环境而定长续航笔记本>,0,15.6,TRUE,1,全尺寸白色背光键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1270/1269654/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0B/05/ChMlWVy_3O2IUc86AAGo4ztSU7wAAJnJQKtXxQAAaj7755.jpg
20,20,apple,苹果Macbook Pro 16,2019,7,Intel 酷睿i7 9750H,16,512GB,0,AMD Radeon Pro 5300M,4,18699,SSD固态硬盘>,2Kg,0,11小时左右，视具体使用环境而定长续航笔记本>,long,0,TRUE,1,全尺寸键盘>，背光键盘,0,1,1,0,1,"轻薄笔记本,商务办公本,",http://detail.zol.com.cn/1291/1290926/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/0B/0E/ChMkJ13Uy9aIfR5UAACHyYw0f7AAAvVAwKDP48AAIfh166.jpg
21,21,HUAWEI,华为HUAWEI MateBook 14,2019,5,Intel 酷睿i5 8265U,8,512GB,0,NVIDIA Geforce MX250,2,5799,NVMe PCIe高速固态硬盘,1.49Kg,medium,15小时左右，视具体使用环境而定长续航笔记本>,long,0,TRUE,1,背光键盘，全尺寸巧克力键盘,0,1,1,0,0,"轻薄笔记本,商务办公本,",http://detail.zol.com.cn/1258/1257944/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/07/0A/ChMlWlyvAOWIJloOAADi0ecHcnQAAJYcQF-g9UAAOLp247.jpg
22,22,DELL,戴尔Inspiron 灵越5000 fit14,2019,5,Intel 酷睿i5 10210U,8,512GB,0,Intel GMA HD>,0,4499,固态硬盘,1.42Kg,medium,视具体使用环境而定长续航笔记本>,0,0,TRUE,0,NO SPECIAL,0,1,0,0,0,"轻薄笔记本,",http://detail.zol.com.cn/1291/1290088/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0E/07/ChMlWV1joheIWCRFAAEP2jt5MOIAAMy7ABqa9UAAQ_y648.jpg
23,23,Lenovo,联想小新 14 i5,2019,5,Intel 酷睿i5 8265U,8,256GB+1T,0,NVIDIA GeForce MX230,2,4999,混合硬盘（SSD+HDD）>,1.55Kg,medium,10小时左右，视具体使用环境而定长续航笔记本>,long,0,TRUE,0,NO SPECIAL,0,1,0,0,0,"轻薄笔记本,",http://detail.zol.com.cn/1257/1256773/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/08/0A/ChMlWl1KrVOIc6vZAAHQYH8D8KEAAMb0wH_gLUAAdB4280.jpg
24,24,DELL,戴尔G3 15游戏本 Ins,2019,5,Intel 酷睿i5 9300H,8,512GB,0,NVIDIA GeForce GTX 1650,4,4799,SSD固态硬盘>,0,0,视具体使用环境而定长续航笔记本>,0,15.6,FALSE,0,NO SPECIAL,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1274/1273112/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/08/0B/ChMlWl1K9YKIOihcAAEyPHQHYPYAAMcJgBzl1UAATJU136.jpg
25,25,Redmi,红米Redmi G 游戏本,2020,7,Intel 酷睿i7 10750H,16,512GB,0,NVIDIA GeForce GTX 1650Ti,4,6599,PCI-e SSD固态硬盘,2.5Kg,heavy,视具体使用环境而定长续航笔记本>,0,16.1,TRUE,1,背光键盘（3级背光）,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1336/1335216/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g6/M00/00/00/ChMkKV82N6eIMIzrAAFJArbT3pYAAA_8ACcBjMAAUka530.jpg
26,26,Lenovo,联想小新 15 2020,2020,7,Intel 酷睿i7 1065G7,16,512GB,0,NVIDIA GeForce MX350,2,6499,SSD固态硬盘>,1.76Kg,medium,视具体使用环境而定长续航笔记本>,0,15.6,FALSE,0,NO SPECIAL,0,1,0,0,0,"轻薄笔记本,",http://detail.zol.com.cn/1314/1313196/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/00/03/ChMlWV56y4yIQMAbAAECdp90RooAAN2OQKVMaYAAQKO992.jpg
27,27,ASUS,华硕灵耀14 i7,2020,7,Intel 酷睿i7 1065G7,16,512GB,0,No description,0,6599,SSD固态硬盘>,1.1Kg,light,14.8小时左右，视具体使用环境而定长续航笔记本>,long,0,TRUE,1,巧克力键盘>，背光键盘,0,1,0,0,0,"轻薄笔记本,",http://detail.zol.com.cn/1325/1324130/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/07/07/ChMlWV7E4SiIX5TMAAEiHvQtUpEAAPS-ADs85sAASI2059.jpg
28,28,ThinkPad,ThinkPad X390,2019,5,Intel 酷睿i5 8265U,8,256GB,0,Intel GMA UHD 620,0,5899,SSD固态硬盘>,1.29Kg,medium,视具体使用环境而定长续航笔记本>,0,13.3,TRUE,0,全尺寸键盘>,0,1,1,0,0,"商务办公本,轻薄笔记本,",http://detail.zol.com.cn/1259/1258212/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/03/02/ChMlWVyd15GIf_UrAAEBl5RG9DkAAJGkwEx_LoAAQGv991.jpg
29,29,DELL,戴尔Vostro 15 VOSTRO,2020,5,Intel 酷睿i5 10300H,8,256GB,0,NVIDIA GeForce GTX 1650,4,0,SSD固态硬盘>,1.9Kg,heavy,视具体使用环境而定长续航笔记本>,0,15.6,TRUE,1,背光键盘,0,1,0,0,0,"轻薄笔记本,",http://detail.zol.com.cn/1326/1325191/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0A/0F/ChMlWV7N1C2ICuLpAADRQ1KvTHkAAPg9ACEJZYAANFb475.jpg
30,30,ROG,ROG 冰刃双屏 i7,2020,7,Intel 酷睿i7 10875H,32,1T,RTX2080,NVIDIA GeForce RTX 2080 Super Max-Q,8,34969,SSD固态硬盘>,2.5Kg,heavy,视具体使用环境而定长续航笔记本>,0,15.6,TRUE,1,单键RGB背光键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1332/1331005/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/00/01/ChMkJl8GftKIXHucAAFCLkO_SCEAAwwqQBIEbYAAUJG929.jpg
31,31,ASUS,华硕VivoBook15s i5,2019,5,Intel 酷睿i5 10210U,8,512GB,0,NVIDIA Geforce MX250,2,4499,SSD固态硬盘>,1.7Kg,medium,视具体使用环境而定长续航笔记本>,0,15.6,TRUE,0,全尺寸键盘>,0,1,0,0,0,"轻薄笔记本,",http://detail.zol.com.cn/1307/1306981/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/07/00/ChMkJl4IJMGIVsHCAAGAtVKhcQEAAwBTQDryIcAAYDN519.jpg
32,32,DELL,戴尔灵越15 Ins,2019,5,Intel 酷睿i5 1035G1,4,256GB,0,NVIDIA Geforce MX230,2,2999,SSD固态硬盘>,1.65Kg,medium,10小时左右，视具体使用环境而定长续航笔记本>,long,15.6,TRUE,0,NO SPECIAL,0,1,0,0,0,"轻薄笔记本,",http://detail.zol.com.cn/1294/1293614/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g1/M00/01/0D/ChMljl2B5AGIL739AAD2Hkuz0ZkAAP1mAMNERQAAPY2315.jpg
33,33,ThinkPad,ThinkPad X13,2020,5,Intel 酷睿i5 10210U,8,512GB,0,No description,0,6989,SSD固态硬盘>,1.3Kg,medium,视具体使用环境而定长续航笔记本>,0,13.3,TRUE,1,背光键盘,0,0,1,0,0,"商务办公本,",http://detail.zol.com.cn/1314/1313463/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/07/0D/ChMlWV7F_MKIPLA8AAEKv-7OjRgAAPUfwLTITQAAQrX315.jpg
34,34,hp,惠普光影精灵5 15-dk0125TX,2019,5,Intel 酷睿i5 9300H,8,512GB,0,NVIDIA GeForce GTX 1050,4,6299,SSD固态硬盘>,2.25Kg,heavy,5-7小时，视具体使用环境而定长续航笔记本>,short,15.6,TRUE,1,绿色背光键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1277/1276346/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/05/09/ChMlWVzsymmIBC16AAEPCufnvRYAAKQHwIFfKMAAQ8i079.jpg
35,35,HUAWEI,华为HUAWEI MateBook X,2019,5,Intel 酷睿i5 8265U,8,512GB,0,Intel GMA UHD 620,0,6999,SSD固态硬盘>,1.33Kg,medium,12小时左右，视具体使用环境而定长续航笔记本>,long,13.9,TRUE,1,全尺寸背光巧克力键盘,0,1,1,0,0,"轻薄笔记本,商务办公本,",http://detail.zol.com.cn/1268/1267304/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/07/0A/ChMlWlyvBZeIEmHpAAD9ohDTy4AAAJYeQFohHAAAP26280.jpg
36,36,microsoft,微软Surface Go 2,2020,0,Intel 奔腾 4425Y,4,64G,0,Intel UHD Graphics 615,0,2988,SSD固态硬盘>,544g,light,10小时左右，视具体使用环境而定长续航笔记本>,long,10.5,TRUE,0,可拆卸键盘>,0,1,1,0,0,"商务办公本,校园学生本,轻薄笔记本,",http://detail.zol.com.cn/1319/1318956/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/01/01/ChMlWV6zbzOIcRK5AABKdDFoK3YAAO5pgM74j0AAEqM718.jpg
37,37,ASUS,华硕飞行堡垒8 i5,2020,5,Intel 酷睿i5 10300H,8,512GB,0,NVIDIA GeForce GTX 1650 Ti,6,5699,SSD固态硬盘>,2.3Kg,heavy,2-5小时，视具体使用环境而定长续航笔记本>,short,15.6,TRUE,1,背光键盘,1,0,0,1,0,"游戏本,影音娱乐本,",http://detail.zol.com.cn/1323/1322843/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/03/0F/ChMlWV67ZQyIM2_MAAGKGoHZbhcAAPE5ANteMkAAYoy290.jpg
38,38,ASUS,华硕飞行堡垒8 i5,2020,5,Intel 酷睿i5 10300H,8,512GB,0,NVIDIA GeForce GTX 1650 Ti,6,5699,SSD固态硬盘>,2.3Kg,heavy,2-5小时，视具体使用环境而定长续航笔记本>,short,15.6,TRUE,1,背光键盘,1,0,0,1,0,"游戏本,影音娱乐本,",http://detail.zol.com.cn/1323/1322843/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/03/0F/ChMlWV67ZQyIM2_MAAGKGoHZbhcAAPE5ANteMkAAYoy290.jpg
39,39,ASUS,华硕飞行堡垒8 i5,2020,5,Intel 酷睿i5 10300H,8,512GB,0,NVIDIA GeForce GTX 1650 Ti,6,5699,SSD固态硬盘>,2.3Kg,heavy,2-5小时，视具体使用环境而定长续航笔记本>,short,15.6,TRUE,1,背光键盘,1,0,0,1,0,"游戏本,影音娱乐本,",http://detail.zol.com.cn/1323/1322843/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/03/0F/ChMlWV67ZQyIM2_MAAGKGoHZbhcAAPE5ANteMkAAYoy290.jpg
40,40,ROG,ROG 幻15 i7,2019,7,Intel 酷睿i7 9750H,16,512GB,0,NVIDIA GeForce GTX1660Ti,6,0,SSD固态硬盘>，预留M.2接口,1.9Kg,heavy,8小时，视具体使用环境而定长续航笔记本>,long,15.6,FALSE,1,全尺寸RGB背光键盘，AURA Sync神光同步,1,0,0,1,0,"游戏本,影音娱乐本,",http://detail.zol.com.cn/1285/1284807/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/01/0D/ChMlWV02uKiIKUAjAAExlSn_4bkAAMAyAH1dVcAATGt288.jpg
41,41,Hasee,神舟战神G8-CU7NA,2020,7,Intel 酷睿i7 10750H,8,512GB,RTX2060,NVIDIA GeForce RTX 2060,6,7388,SSD固态硬盘>,2.5Kg,heavy,视具体使用环境而定长续航笔记本>,0,17.3,TRUE,1,背光键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1319/1318004/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/05/00/ChMlWV6NLcmICk_7AAFFvp26j4YAAOJdAHzEMQAAUXW687.jpg
42,42,Hasee,神舟战神G8-CU7NA,2020,7,Intel 酷睿i7 10750H,8,512GB,RTX2060,NVIDIA GeForce RTX 2060,6,7388,SSD固态硬盘>,2.5Kg,heavy,视具体使用环境而定长续航笔记本>,0,17.3,TRUE,1,背光键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1319/1318004/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/05/00/ChMlWV6NLcmICk_7AAFFvp26j4YAAOJdAHzEMQAAUXW687.jpg
43,43,ASUS,华硕灵耀X2 Duo i7,2020,7,Intel 酷睿i7 10510U,16,1T,0,NVIDIA GeForce MX250,2,10999,SSD固态硬盘>,1.35Kg,medium,视具体使用环境而定长续航笔记本>,0,0,TRUE,1,全尺寸键盘>，背光键盘,0,0,0,0,0,"创意设计PC,",http://detail.zol.com.cn/1307/1306642/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/06/01/ChMkJ14EHq6IMoqFAAD4IjA5UaoAAv9bwLaMkcAAPg6302.jpg
44,44,apple,苹果Macbook Pro 13.3英寸,2020,0,0,8,256GB,0,Intel Iris Plus Graphics 645,0,10050,SSD固态硬盘>,1.4Kg,medium,"10小时的无线网络浏览
10小时的iTunes影片播放
30天的待机时间长续航笔记本>",long,13.3,TRUE,1,背光妙控键盘,0,1,1,0,1,"轻薄笔记本,商务办公本,",http://detail.zol.com.cn/1322/1321730/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/00/04/ChMlWV6wxR6IGZQYAAEhYLU36LQAAO2TQJIEUgAASF4079.jpg
45,45,ASUS,华硕天选FA506IV R7,2020,7,AMD Ryzen 7 4800H,8,512GB,RTX2060,NVIDIA GeForce RTX 2060,6,7199,SSD固态硬盘>,2.5Kg,heavy,2-5小时左右，视具体使用环境而定长续航笔记本>,short,15.6,TRUE,0,巧克力键盘>,1,0,0,1,0,"游戏本,影音娱乐本,",http://detail.zol.com.cn/1316/1315099/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0E/04/ChMlWl5wSOmIMXhrAAE9egS_DV0AANuUwPC0hUAAT2S226.jpg
46,46,hp,惠普光影精灵6 i5,2020,5,Intel 酷睿i5 10300H,16,512GB,0,NVIDIA GeForce GTX 1650 Ti,4,6899,SSD固态硬盘>,2.23Kg,heavy,5-7小时，视具体使用环境而定长续航笔记本>,short,15.6,TRUE,1,背光键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1323/1322623/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/03/02/ChMlWV65ChOIeb5BAAGWNu8IHC8AAPBtwB3ENsAAZZO456.jpg
47,47,ThinkPad,ThinkPad P53,2019,7,Intel 酷睿i7 9850H,8,2T,0,NVIDIA Quadro T1000,4,16489,0,0,0,视具体使用环境而定长续航笔记本>,0,15.6,FALSE,0,NO SPECIAL,0,1,0,0,0,"轻薄笔记本,",http://detail.zol.com.cn/1296/1295595/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g4/M01/0D/09/ChMly12dnzqIEJ_hAAD4lgUegMcAAYE0gDCCE4AAPiu224.jpg
48,48,ThinkPad,ThinkPad T490,2019,5,Intel 酷睿i5 8265U,8,256GB,0,NVIDIA Geforce MX250,2,10699,SSD固态硬盘>,1.46Kg,medium,视具体使用环境而定长续航笔记本>,0,0,TRUE,1,背光键盘,0,0,1,0,0,"商务办公本,",http://detail.zol.com.cn/1259/1258214/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/08/06/ChMlWlxzz2GICspXAACxvxzYQqAAAIbhQJPteEAALHX508.jpg
49,49,ThinkPad,ThinkPad X1 Carbon,2020,7,Intel 酷睿i7 10710U,16,512GB,0,No description,0,12999,SSD固态硬盘>,1.09Kg,light,10-18小时，视具体使用环境而定长续航笔记本>,long,0,TRUE,1,背光键盘,0,1,1,0,0,"轻薄笔记本,商务办公本,",http://detail.zol.com.cn/1308/1307920/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/08/0A/ChMlWV7HoqOIMByKAADFpqflEVEAAPXoQHkb4wAAMW-265.jpg
50,50,hp,惠普星 14-CE3027TX,2019,5,Intel 酷睿i5 1035G1,8,512GB,0,NVIDIA Geforce MX250,2,5299,SSD固态硬盘>,1.59Kg,medium,10小时左右，视具体使用环境而定长续航笔记本>,long,0,TRUE,1,背光键盘,1,1,0,0,0,"轻薄笔记本,影音娱乐本,",http://detail.zol.com.cn/1300/1299697/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/08/00/ChMkJ13DvEOIKpJlAAD4o1_rv9oAAvFkAIxEzcAAPi7553.jpg
